user_id,language,platform,gender,age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25,q26
52e00c55-ff35-4401-b733-d75c923bbf6d,es,Desktop,male,37,6,4,7,8,3,7,1,6,1,7,6,1,9,4,8,8,10,3,7,9,5,4,2,5,9,8
3efaa5f7-fd59-4490-aec7-159da45858c8,fr,Desktop,male,25,5,8,6,8,6,3,5,5,8,4,10,3,1,10,2,6,1,3,8,5,4,8,9,4,9,10
3c92c2d2-8f36-47ee-a42e-cf4ddf1ad6d7,de,Mobile,non-binary,49,1,2,4,6,8,4,7,2,9,4,3,5,9,3,8,7,6,3,9,8,10,10,3,2,4,5
eb76a25c-5d66-406c-a6fc-e5dd8720e6dc,de,Mobile,male,64,10,10,1,7,3,6,8,3,5,9,9,3,3,5,2,10,5,3,9,6,4,9,10,4,10,10
3a8b1d04-9de4-421b-af10-bb3f3d71b5be,de,Tablet,non-binary,39,3,10,5,10,4,6,2,10,9,2,4,2,4,6,3,8,8,5,2,1,4,9,9,1,8,5
a2d8f738-6bce-454a-a457-5e4006cffd71,fr,Tablet,non-binary,32,6,1,5,10,5,1,4,10,4,7,7,10,2,4,10,3,9,6,1,4,6,10,4,10,2,1
64da55c1-7cbe-42dc-ba80-6eec61b1682c,fr,Mobile,non-binary,25,9,3,7,10,4,5,4,3,7,2,4,2,6,1,3,4,4,9,2,1,1,3,7,1,10,10
52337c98-fe64-4d30-b93d-029e2eb10556,de,Tablet,non-binary,36,7,7,8,4,4,9,8,5,4,10,2,3,10,5,7,6,4,1,10,3,4,2,10,9,9,7
bf6a2975-f087-4d7a-b914-e202b616b2d0,es,Mobile,non-binary,39,7,9,8,3,9,6,7,10,2,7,2,6,1,3,9,10,6,2,4,7,1,2,9,1,1,6
484d4372-6907-48a4-a9a0-b3a96352b214,en,Desktop,female,56,2,5,6,10,7,3,10,9,2,2,3,5,3,2,6,4,4,10,4,6,5,1,8,7,5,3
70b892f5-2098-463a-a30c-eedd559465c8,es,Tablet,female,37,5,6,9,6,7,9,5,10,9,5,10,10,8,7,3,5,8,4,4,2,5,4,6,4,5,6
01359775-2e00-4a21-a20d-340f9e21ba65,fr,Desktop,non-binary,48,1,1,3,9,7,5,2,3,5,5,2,1,9,9,2,10,2,2,2,9,2,1,8,9,3,6
fec74d5b-d67a-4b82-b780-0d812847d70a,fr,Mobile,non-binary,54,6,10,5,6,6,1,8,9,6,8,3,1,8,6,4,10,2,5,3,2,9,1,8,2,3,5
3c16b08c-abec-4764-9c2c-caf3bc53d201,de,Desktop,female,26,1,8,2,10,10,7,7,4,5,5,4,8,8,8,7,5,6,8,2,1,2,7,1,8,2,8
e4511a96-7fb8-4d9f-8eb3-7efe926efe6b,es,Desktop,female,61,5,2,8,10,3,1,2,8,8,2,1,2,10,2,5,1,1,5,8,5,4,6,9,9,2,3
b07c48d6-0e0f-4a00-9678-e1b0457704dc,de,Desktop,male,62,8,8,7,6,4,6,6,2,7,1,9,2,8,2,8,3,10,2,6,8,2,1,3,8,4,9
6330f9d7-c1a7-484e-a79f-fc9af6dd07d4,es,Tablet,non-binary,46,1,1,3,8,6,1,10,7,8,3,10,6,9,10,4,5,8,4,8,5,5,8,5,7,2,5
18b1f6f7-de12-4a1a-981f-90c3365b270a,de,Tablet,female,23,7,9,5,8,8,5,1,3,3,10,7,9,10,9,9,9,7,5,10,10,5,2,9,9,10,5
9d2153c3-3d92-468f-81eb-df478a7b3749,en,Tablet,female,63,1,7,10,1,5,8,2,4,6,5,3,5,5,5,8,7,6,9,4,8,10,5,3,6,10,4
c9768a4a-46ad-4276-baaf-ffb05a9e9076,fr,Tablet,non-binary,36,8,1,3,7,1,4,1,6,2,2,2,6,5,5,6,9,3,3,9,6,7,10,4,7,9,2
51d652b0-728d-4853-84e5-3c18c1d57b6b,de,Tablet,non-binary,56,1,3,4,9,3,8,8,1,5,6,2,9,2,7,7,6,1,4,2,6,8,3,4,6,7,1
502255c2-4cd7-41f7-8d2b-42013822db9d,fr,Desktop,female,29,2,3,6,5,6,10,7,9,1,1,4,5,1,6,2,9,1,1,2,8,2,3,2,7,1,9
467f2fbf-e944-44f2-a933-6705e872930e,es,Desktop,non-binary,26,7,9,7,10,2,1,2,5,4,1,7,9,10,1,10,1,2,1,8,4,9,6,7,6,9,8
30ef7af1-1427-45b8-a278-f7e61a0ddac6,fr,Mobile,non-binary,54,8,7,3,8,9,4,8,4,10,4,5,1,2,10,4,5,7,8,4,4,8,2,8,1,2,9
8ac03019-296b-4112-991a-3261d3a519f4,es,Tablet,non-binary,26,8,1,9,1,4,2,1,4,3,10,8,7,9,6,8,5,2,9,1,2,2,3,5,7,9,1
b82829de-d138-49fd-ac08-054812871765,de,Desktop,female,52,2,1,2,7,8,2,3,2,6,2,5,8,5,7,9,4,9,6,2,6,8,8,6,4,2,8
19802bb1-4419-4a6b-99f8-e90d1c969aee,fr,Desktop,non-binary,53,9,7,6,7,4,4,4,2,2,4,8,1,7,1,9,2,5,9,5,7,3,4,9,8,7,4
5e495b9f-2967-44da-857f-61027266e8c9,en,Mobile,male,22,2,10,2,2,6,2,5,3,7,5,4,10,6,6,6,9,6,5,9,2,4,6,3,6,9,6
be9b5d04-f9c5-4906-9206-104a048c0678,fr,Mobile,female,64,10,9,7,6,4,1,8,1,9,3,8,10,3,10,9,1,8,8,10,8,10,8,1,3,7,4
6ad8313c-c900-4559-9290-8c80fbfb30d6,fr,Tablet,non-binary,50,5,5,1,5,10,9,8,8,5,2,1,7,9,6,1,2,8,7,5,6,8,5,3,4,9,8
430e8131-8500-45c3-a7fb-f200f8b1c32e,en,Tablet,non-binary,62,6,9,5,6,6,2,5,7,6,10,9,5,8,8,9,1,4,5,8,7,5,3,1,6,7,10
c431e309-eb6b-4d5f-bb72-390dd19233bb,es,Tablet,male,23,2,8,2,1,3,1,7,1,3,10,9,4,8,3,2,8,4,6,3,2,5,8,8,1,2,2
d26feaa3-eb9e-482b-82d3-bbb9a94c9772,en,Mobile,non-binary,19,10,9,4,2,6,7,6,6,5,4,8,2,9,2,6,6,2,3,7,7,4,6,6,6,9,2
2cfb0129-e2a6-49bc-acfb-933bc8f3541b,es,Mobile,female,58,10,3,10,10,7,3,6,2,5,2,9,6,9,8,10,8,7,4,10,6,6,7,9,5,10,2
e70e7735-3bd6-4058-8f38-7de25c78a4f5,de,Tablet,female,59,1,9,1,9,2,8,9,7,9,1,6,2,9,6,10,9,1,6,7,7,2,3,6,1,9,9
443c91e6-4397-46d4-b683-4091a6e1cac1,de,Mobile,female,54,8,10,5,5,8,10,4,5,4,10,3,9,2,3,9,3,4,2,10,3,8,2,3,8,2,9
fb19e062-9778-4a4b-a968-f30ad7ef70be,fr,Desktop,male,41,2,1,9,7,4,1,8,2,3,7,10,2,8,6,9,5,7,1,1,6,10,3,7,2,8,5
680642aa-5a0c-4197-9840-362217081787,fr,Mobile,male,53,8,6,2,4,2,6,10,8,10,5,10,2,10,8,3,1,9,9,5,5,5,4,3,6,4,9
38748b82-7880-49a6-8b69-d5012dba2a77,fr,Tablet,female,40,10,9,1,4,9,5,4,5,7,10,10,7,3,7,6,4,7,5,9,10,5,4,5,2,9,4
45a22cad-13e1-4d6c-afdf-5d979664ddc8,es,Mobile,female,44,7,3,10,3,6,10,3,10,2,1,7,2,2,5,5,5,6,10,5,6,3,10,6,9,6,1
5c8d62a9-caf1-47cc-b3b1-b05bda861ef6,de,Tablet,non-binary,39,7,5,7,4,5,5,6,2,7,10,9,9,8,8,8,2,2,8,3,2,3,9,5,1,8,8
f15e8e61-7c2b-418d-8762-02f268699906,en,Desktop,female,28,3,4,1,1,7,6,9,9,4,3,6,3,9,10,3,10,8,4,1,9,9,4,9,1,2,9
b091e18c-9e6a-4b98-b707-6f399fd89da2,fr,Mobile,non-binary,48,7,2,5,10,1,8,1,6,3,8,8,2,5,10,3,6,8,3,2,8,1,7,2,7,7,2
135cf570-c482-427d-93df-40c78b023117,fr,Tablet,female,36,4,6,9,8,4,1,4,5,5,1,6,10,7,2,2,2,6,9,7,6,10,9,2,9,1,2
362b9f08-4f3f-4c7a-8db8-11df9f3964d2,fr,Mobile,non-binary,53,4,1,10,5,10,2,5,6,10,6,8,1,2,7,10,1,7,4,5,4,3,1,9,3,6,4
f6b50fb5-73ee-45a8-8c0d-75457a158f1f,es,Mobile,non-binary,31,9,8,5,1,5,5,8,4,9,5,6,6,2,9,1,2,2,7,8,9,3,7,3,7,5,9
50677598-9a87-4b1d-9c53-88e498e539e8,de,Desktop,male,59,2,10,8,5,4,4,9,2,1,6,6,1,10,10,6,5,2,8,1,3,10,10,4,2,4,8
9daf7745-721b-4202-9e4e-68dcbdaa05b8,de,Desktop,non-binary,33,5,4,5,3,2,8,5,9,9,8,10,3,1,2,7,10,10,8,8,1,2,1,2,8,4,7
6ad8f2d2-734a-468c-b111-228e940109eb,fr,Mobile,male,44,5,7,4,2,9,2,5,7,10,10,9,8,2,1,1,6,9,9,7,3,7,2,10,4,4,5
b7663360-4997-44e3-960b-4e20747c43d3,en,Tablet,male,18,10,2,1,2,8,2,5,6,6,1,8,4,8,4,4,1,4,10,1,4,5,2,8,1,9,10
e48ef9ba-1967-4dbe-9e95-f5952dcae87b,en,Desktop,female,23,8,5,10,4,10,9,4,6,4,4,8,1,7,8,5,7,4,6,5,8,6,1,1,6,8,6
7b0f3340-23db-4447-8398-b14f568fd529,de,Tablet,female,31,1,9,2,7,6,9,6,9,9,7,2,6,3,6,10,7,3,3,10,8,3,4,1,2,8,5
e292d21d-d36c-497d-96f0-63cad8562ad9,en,Mobile,non-binary,23,10,2,1,3,2,10,7,7,1,3,4,4,5,6,9,10,8,6,3,8,1,6,1,2,2,9
5a4d2cf4-4681-4f49-bf36-5017e62db6f9,es,Desktop,female,29,3,10,2,8,6,3,6,3,2,6,5,1,7,5,6,6,1,4,5,9,7,4,1,4,7,5
bd016e13-4b9a-41af-ad10-4955890f40d3,en,Mobile,female,27,5,6,10,3,1,9,2,1,7,4,1,10,7,9,2,1,1,2,3,2,3,10,8,7,6,5
febf8190-980e-4d8a-a6f3-bfac7550fb1a,de,Desktop,female,18,9,1,7,10,2,6,5,10,2,10,1,7,9,2,6,3,3,2,5,10,2,4,3,10,8,8
d256d6ac-5a3f-4880-ada4-6be028a59923,es,Desktop,male,27,1,1,5,10,8,7,7,2,9,5,6,4,7,9,10,3,7,7,5,7,9,8,10,1,10,5
61536cfc-c2b5-471b-805e-ca3c17e9796b,es,Mobile,female,36,6,7,6,9,9,6,5,5,9,2,6,3,7,8,6,10,3,6,2,4,6,8,7,7,6,10
a74b405c-2f8a-45e8-b104-619059b60baa,fr,Tablet,non-binary,43,2,1,3,2,10,2,3,7,4,3,3,9,2,10,4,3,10,5,7,3,6,1,3,2,7,8
9f12c6ab-c555-4c23-a96a-3ffd07fa7154,de,Mobile,non-binary,30,7,3,8,5,10,4,3,9,2,6,2,10,9,1,3,7,4,3,3,8,8,3,5,10,9,9
07004400-2675-4bd3-9e2e-ce93ebf0e111,en,Desktop,female,19,3,10,3,2,4,5,5,6,1,5,1,4,5,9,9,5,5,6,3,1,6,7,9,1,8,1
408c1f6b-b029-4ff0-9431-3b67c4c414a6,de,Desktop,male,30,2,4,4,1,9,5,6,7,5,3,10,6,2,6,1,2,3,2,7,8,3,1,8,7,4,3
7deb5701-3fef-48d2-b560-56af8a04026e,es,Desktop,non-binary,51,3,8,6,1,4,5,3,5,10,10,8,2,5,8,1,2,1,6,4,3,5,6,6,5,5,9
b952bb76-d23b-46e6-b25f-f801cb51ab23,en,Tablet,male,34,6,9,8,9,1,3,7,1,7,6,8,4,9,8,2,6,1,10,3,5,2,10,4,7,8,7
0ed10d89-e5c1-4c47-a897-096b194dad8e,fr,Desktop,female,26,7,5,7,9,9,10,1,8,1,9,1,1,5,6,8,6,6,8,5,6,9,4,6,9,9,6
1ce84e7e-5336-4cbc-978e-49645467d3bf,fr,Mobile,male,44,6,9,9,5,5,6,9,5,1,8,5,7,1,3,6,1,6,7,4,7,9,5,3,2,7,5
7192540a-5c01-433a-999f-c346eb7498da,en,Mobile,female,59,4,7,4,4,6,5,3,7,1,2,2,2,6,1,7,2,2,9,9,10,1,6,2,8,7,10
35e68c8d-095f-443f-aeca-25ac75917b07,en,Tablet,non-binary,31,1,7,2,8,3,10,5,5,3,9,2,5,7,9,6,6,10,5,6,4,7,2,1,4,8,2
b19f2ea9-6740-42e2-8d0e-969bc492574e,es,Mobile,non-binary,33,6,9,1,10,8,8,9,4,4,9,9,6,5,2,8,2,4,7,3,3,3,3,8,9,4,3
61f30664-1430-4aba-8215-653349888024,de,Tablet,non-binary,49,3,5,1,6,8,4,8,8,6,1,9,4,3,1,9,6,1,5,7,8,8,10,7,3,5,3
ef10b668-d39e-47f1-88ea-67f776af49ad,en,Mobile,female,31,8,3,2,8,5,8,10,8,9,9,8,9,5,1,9,4,5,2,4,3,1,1,9,6,2,1
45edd45d-0bd1-4463-910b-53010f8a12c0,en,Tablet,non-binary,24,1,2,8,8,4,3,5,2,9,6,1,2,1,3,6,4,9,7,6,3,5,10,4,5,1,1
611ef1e2-b5b9-49ea-830b-aec57b814d3e,fr,Mobile,male,35,4,2,9,4,6,6,10,1,7,10,4,5,4,3,6,2,9,7,10,7,7,4,4,10,8,4
ea9fba73-2017-4c9f-b7f4-1bf61a754298,es,Desktop,male,59,5,5,7,6,3,5,3,6,9,8,5,8,5,10,1,4,2,10,10,8,3,5,6,4,1,1
d5209e6a-f2b6-4322-a899-6d5364376cbc,de,Tablet,female,37,4,3,10,3,6,8,3,10,6,1,5,10,10,2,8,6,7,6,7,5,4,3,4,2,5,2
40eb3662-704a-442e-bd4d-0c6d6356c52a,de,Tablet,non-binary,38,3,8,8,2,1,10,6,7,3,9,6,2,6,2,1,8,5,10,6,2,7,10,10,2,8,7
dd903771-539d-45e2-9b23-2c16e7ea4b8e,fr,Mobile,male,38,3,1,2,2,5,3,1,10,6,6,1,3,10,8,8,7,2,5,7,6,10,9,10,10,10,2
1304dd6b-fe7a-4eab-bca7-b58f9fdf1629,fr,Desktop,female,24,3,8,5,4,6,9,5,2,7,5,9,4,10,5,2,10,2,1,1,7,7,1,6,2,6,5
2435fdc0-a2fb-478d-a768-7d9b42b551ef,fr,Desktop,non-binary,52,4,9,6,2,6,1,5,3,3,6,8,1,2,5,5,6,7,8,10,7,8,5,8,1,1,1
e23d932e-fc49-4577-905e-c471fe2a0e50,de,Tablet,male,56,8,10,9,4,2,10,8,9,7,9,3,10,5,6,3,2,4,9,7,9,4,10,7,1,3,1
b318a73c-78d3-4710-aa01-c1268e3d177f,en,Tablet,male,20,4,4,5,8,5,2,9,8,10,7,3,4,7,1,5,2,6,1,3,1,6,10,9,9,6,3
a85b6b8f-e519-458c-a6b1-9d3e3fd19d50,en,Desktop,male,64,7,7,6,3,8,7,9,9,1,7,1,4,8,10,6,9,7,2,7,6,6,4,9,7,6,7
dbb2af2e-ccc4-4f11-927a-f6c62f068d83,es,Mobile,non-binary,51,5,8,6,5,4,1,1,10,1,5,6,5,3,5,7,7,3,9,10,3,3,5,9,10,8,3
ab84d2bf-0d05-4eee-bfee-e0eaa3f7d5e2,es,Desktop,non-binary,45,5,8,6,2,2,7,1,2,5,2,3,10,8,10,10,4,1,5,3,8,8,3,7,10,4,5
dcb2ef93-3790-4341-bded-f9df39fe036d,es,Mobile,non-binary,63,5,1,3,7,10,9,2,6,10,9,5,6,2,7,7,4,10,2,1,1,5,5,8,5,10,8
a3c48edd-5090-4333-82f9-c801eb716ed4,de,Tablet,non-binary,30,3,7,9,2,3,10,1,6,1,7,3,8,3,10,3,3,3,2,9,5,1,10,10,1,9,5
77846258-da4e-4ef2-9efa-97b27872c1c3,es,Desktop,female,29,1,9,1,10,8,7,5,2,7,8,1,7,5,10,2,7,2,1,4,2,4,2,6,6,3,6
61b13b45-87e7-493d-a30b-7520ab2845b2,en,Mobile,non-binary,58,3,5,10,2,6,10,7,7,9,3,4,9,8,10,7,8,8,3,1,6,7,10,9,4,10,9
581b28c1-c4ca-4462-8111-8eb949a9fabc,en,Tablet,male,35,9,10,4,2,9,9,10,1,2,2,3,1,10,8,8,7,2,8,7,2,1,9,3,7,6,4
42756dc8-8d81-4a92-abca-0d561039b024,de,Mobile,non-binary,50,5,8,2,8,1,1,10,9,6,7,7,2,10,8,9,6,10,9,9,4,4,5,2,7,1,7
b376819a-fe46-47d8-8da1-8e6d40de5158,de,Desktop,male,51,6,4,5,4,4,2,4,8,2,9,4,8,7,9,7,3,6,6,8,2,7,8,6,1,3,3
3d665878-79bb-4bca-8dd2-d5a9fc50e6d3,en,Tablet,non-binary,59,8,10,6,9,5,10,2,8,7,7,8,6,3,6,7,1,3,7,6,1,9,4,4,1,4,10
907b8693-85fa-402b-a606-67c624f23972,es,Mobile,female,18,1,1,8,10,2,2,9,6,3,10,3,8,4,8,8,7,1,4,1,8,10,1,4,10,7,7
ca56da72-c2db-4f47-b364-4218ed073573,de,Tablet,male,65,9,5,10,8,6,2,1,8,4,5,6,6,5,4,2,9,3,4,1,7,5,8,2,4,7,7
0ed456d2-14d1-4c54-89a0-35621ba72536,en,Desktop,female,61,2,6,3,3,2,9,4,9,6,6,3,3,6,2,2,1,7,8,7,5,10,4,2,1,4,5
9579059d-e498-47ce-9678-f77d46757176,de,Tablet,male,50,1,9,6,9,6,1,4,3,10,6,7,2,5,4,3,7,6,3,6,3,1,7,3,4,6,3
135ee5dc-6aae-419a-868b-a3add73b81d7,es,Desktop,female,44,8,6,6,3,10,3,1,5,6,6,10,6,8,5,4,5,2,6,10,2,7,7,4,1,5,1
7f532c93-8678-4a86-8fde-0baae5fd271e,es,Desktop,female,43,2,7,2,8,7,6,2,8,7,8,6,9,10,4,5,6,9,5,6,8,8,5,8,9,4,6
7fc4ce11-761d-4929-b83b-bff9f8c04747,de,Tablet,non-binary,37,1,8,5,3,1,4,1,10,2,7,2,6,3,2,7,1,6,8,3,4,7,10,2,8,9,1
9ccef102-9183-4a80-b36f-8212dd4e99f9,en,Tablet,non-binary,58,2,1,6,10,1,6,4,2,5,6,5,10,6,10,4,2,6,5,4,6,4,9,4,8,4,6
